id,site,date,hoff,hdef,htemp,aoff,adef,atemp,line,ou,hp,ap,prob,hs,as
401577718,False,20231117,98.15,109.0,73.55,101.8,109.15,73.45,2.5,157.5,82.0,80.4,0.5297,85,80
401581546,True,20231117,107.25,97.19999999999999,70.25,102.95,97.0,64.45,-2.5,126.5,67.5,64.8,0.6157,66,62
401582110,True,20231117,103.80000000000001,99.85,73.55000000000001,106.5,102.0,65.05,4.5,142.5,71.0,71.5,0.4975,68,78
401582120,True,20231117,98.6,99.0,69.9,99.25,105.85,69.4,-4.5,135.5,71.7,67.7,0.6373,77,64
401601459,False,20231117,103.19999999999999,104.85,71.0,102.5,105.65,73.35,-5.5,153.5,81.2,76.1,0.6621,64,70
401581545,True,20231117,107.85,97.15,65.05,108.95,98.25,71.8,-1.5,138.5,69.8,69.7,0.4826,88,81
401575392,True,20231117,98.75,109.3,71.05,92.44999999999999,112.1,72.95,-6.5,152.5,79.1,73.1,0.7096,85,81
401582113,True,20231117,101.15,105.0,70.6,104.6,100.45,73.85,4.5,151.5,73.5,78.6,0.3108,67,60
401582121,True,20231117,102.9,99.0,68.05,101.95,101.85,70.7,-1.5,134.5,71.2,68.7,0.5829,71,77
401581515,True,20231117,113.55,99.05,71.95,105.85,97.55000000000001,73.15,-6.5,156.5,79.7,75.6,0.6535,79,67
401606133,False,20231117,99.9,102.25,67.69999999999999,105.35,113.2,72.65,-4.5,146.5,79.5,72.5,0.7065,82,75
401581813,True,20231117,103.3,111.7,70.5,93.6,111.9,71.75,-9.5,149.5,79.7,73.1,0.7336,70,72
401581509,True,20231117,98.85,98.7,72.0,102.7,98.65,69.94999999999999,5.5,137.5,69.8,72.4,0.4056,62,61
401577562,True,20231117,99.05,105.9,69.4,96.55000000000001,103.4,70.55,-3.5,137.5,70.8,70.8,0.505,66,80
401581548,True,20231117,109.6,93.75,70.7,113.94999999999999,87.94999999999999,67.65,9.5,133.5,66.0,72.7,0.2844,66,76
401584362,True,20231117,99.75,105.55000000000001,70.30000000000001,97.69999999999999,106.55000000000001,73.8,5.5,146.5,76.4,74.4,0.568,67,77
401582157,True,20231117,105.0,96.1,68.75,100.94999999999999,104.95,68.35,-7.5,133.5,73.0,64.6,0.7734,64,66
401597978,False,20231117,105.45,106.4,70.1,99.05,110.45,67.5,-10.5,143.5,79.2,69.1,0.8182,89,51
401577684,False,20231117,92.55,106.05,68.55,99.75,106.7,72.55000000000001,4.5,142.5,72.7,73.5,0.4305,58,67
401582122,True,20231117,106.25,100.05000000000001,71.35,98.2,108.4,74.4,-16.5,154.5,82.9,72.2,0.8271,100,62
401576150,False,20231117,114.6,92.2,70.05,93.75,109.55000000000001,69.65,-34.5,141.5,88.2,59.1,0.9872,90,60
401604419,True,20231117,96.1,103.0,69.8,92.8,108.6,72.15,-8.5,138.5,74.4,68.6,0.6975,0,0
401581510,True,20231117,106.94999999999999,102.44999999999999,71.6,107.95,98.0,69.25,5.5,148.5,72.1,75.7,0.3811,68,50
401581158,True,20231117,109.2,94.6,69.5,110.3,95.05000000000001,73.75,-1.5,146.5,74.3,74.7,0.4736,73,70
401574577,False,20231117,110.75,92.55,68.30000000000001,105.45,96.25,72.30000000000001,-8.5,138.5,78.4,67.4,0.8295,74,54
401594151,False,20231117,102.05000000000001,101.85,64.69999999999999,100.05000000000001,108.2,71.1,-6.5,130.5,74.9,66.1,0.7697,80,71
401583778,False,20231117,102.85,107.95,72.19999999999999,98.1,103.5,72.1,-5.5,151.5,80.0,75.7,0.6459,75,68
401582112,True,20231117,107.5,102.45,74.15,99.30000000000001,108.75,71.8,-10.5,163.5,83.6,74.2,0.8085,89,80
401588944,False,20231117,114.25,93.75,70.65,91.95,109.55,71.4,-34.5,146.5,90.2,61.0,0.9871,101,67
401581837,False,20231117,108.4,100.30000000000001,75.25,102.4,101.85,68.35,-6.5,149.5,81.9,72.4,0.8099,76,73
401604762,False,20231117,106.30000000000001,101.6,73.1,100.94999999999999,108.9,73.44999999999999,-9.5,163.5,87.2,74.6,0.8571,74,80
401604346,True,20231117,98.3,103.8,68.1,100.9,107.25,71.65,-2.5,138.5,72.1,71.6,0.5042,51,60
401597952,False,20231117,103.55,97.85,71.6,100.15,104.1,69.1,-12.5,137.5,78.2,67.8,0.8204,74,51
401597831,False,20231117,95.7,105.4,70.75,102.80000000000001,100.75,68.15,7.5,137.5,69.0,73.0,0.3459,70,68
401594051,False,20231117,106.35,101.19999999999999,75.1,101.4,108.30000000000001,67.65,-10.5,152.5,83.3,71.4,0.8558,92,57
401588729,False,20231117,99.3,107.9,70.44999999999999,87.25,110.25,70.3,-12.5,137.5,79.6,67.0,0.8626,76,48
401588590,False,20231117,99.8,105.0,73.1,102.94999999999999,106.9,67.15,-3.5,142.5,75.9,73.1,0.5966,67,85
401584412,False,20231117,109.75,94.0,71.19999999999999,96.75,105.4,68.45,-23.5,136.5,82.5,62.3,0.9532,78,68
401584339,False,20231117,98.9,111.5,71.7,92.85,112.65,71.75,-7.5,155.5,82.0,74.0,0.7513,80,74
401583851,False,20231117,109.9,99.8,70.95,100.3,105.55,68.7,-13.5,145.5,81.6,67.5,0.8923,77,58
401583591,False,20231117,110.1,97.55000000000001,70.1,97.1,111.3,68.80000000000001,-23.5,143.5,84.7,63.5,0.9588,87,53
401582158,True,20231117,106.3,99.65,67.65,112.35,93.35,72.6,10.5,143.5,68.5,76.5,0.2277,60,77
401581547,True,20231117,111.0,101.55,70.85,102.45,101.9,64.45,-4.5,138.5,72.5,66.7,0.7244,71,61
401581083,False,20231117,104.4,104.65,73.85,99.85,100.30000000000001,69.94999999999999,-3.5,152.5,78.8,74.3,0.664,75,78
401577629,False,20231117,112.80000000000001,95.35,71.44999999999999,105.6,100.9,75.9,-16.5,159.5,87.8,74.1,0.8755,86,94
401577554,False,20231117,109.85,97.25,71.55,97.15,102.5,68.8,-16.5,141.5,81.3,65.2,0.9185,107,56
401577543,False,20231117,104.69999999999999,98.15,72.6,96.45,106.19999999999999,69.0,-16.5,145.5,81.2,66.5,0.8978,54,57
401576159,False,20231117,103.05,99.35,66.95,98.25,106.45,73.9,-9.5,140.5,79.6,67.8,0.8352,65,47
401575751,False,20231117,111.4,95.45,72.94999999999999,107.95,98.7,74.15,-8.5,157.5,85.2,75.4,0.8016,89,68
401574410,False,20231117,107.5,101.45,67.69999999999999,94.5,109.85,72.35,-19.5,143.5,83.5,65.8,0.9289,75,71
401598003,True,20231117,102.25,108.15,65.8,90.45,108.25,69.35,-7.5,132.5,71.7,63.8,0.7688,60,61
401594212,True,20231117,96.6,110.35,69.4,97.7,110.0,71.35,3.5,144.5,73.3,74.3,0.4594,86,72
401579099,False,20231117,102.75,102.9,72.8,96.0,110.94999999999999,73.85,-18.5,157.5,86.7,73.0,0.8737,89,72
401575512,False,20231117,113.85,92.55,67.6,102.45,105.5,73.80000000000001,-20.5,149.5,86.2,65.6,0.9519,74,66
401594526,False,20231117,112.30000000000001,93.4,73.1,104.8,100.3,69.95,-14.5,146.5,83.4,69.0,0.8958,72,78
401583598,False,20231117,113.80000000000001,94.25,72.25,97.1,103.25,69.80000000000001,-23.5,149.5,85.9,64.4,0.9618,77,52
401591432,False,20231117,116.05000000000001,92.5,73.7,97.85,104.25,68.94999999999999,-29.5,149.5,88.3,64.0,0.9754,98,67
401584512,False,20231117,108.9,92.25,69.9,90.05000000000001,106.05,70.05,-28.5,140.5,83.7,58.1,0.9778,87,64
401594611,False,20231117,115.85,100.05000000000001,74.8,106.65,107.5,70.80000000000001,-19.5,173.5,90.7,75.2,0.9114,88,74
401594474,False,20231117,92.85,107.8,69.9,95.75,106.19999999999999,72.15,1.5,143.5,73.8,73.2,0.4885,88,80
401584352,False,20231117,109.55000000000001,94.05000000000001,69.55,95.8,107.25,75.0,-27.5,152.5,88.0,65.8,0.9609,90,66
401583602,False,20231117,110.7,92.85,74.8,93.2,108.8,71.30000000000001,-30.5,151.5,91.1,64.7,0.9805,92,75
401578012,False,20231117,110.65,91.85,73.19999999999999,89.94999999999999,112.85,69.75,-38.5,144.5,90.9,59.5,0.9906,86,52
401577699,True,20231117,107.35,103.75,68.4,103.3,99.65,68.5,-1.5,141.5,70.3,70.3,0.5106,61,70
401592093,False,20231117,98.8,102.44999999999999,69.25,100.85,109.65,73.4,-7.5,147.5,79.6,72.5,0.7121,72,62
401574576,False,20231117,114.05000000000001,97.35,67.9,108.3,93.9,68.15,-5.5,133.5,74.1,67.9,0.7282,57,40
401597880,False,20231117,101.3,98.2,71.25,101.3,106.2,69.15,-9.5,138.5,77.5,68.3,0.7856,71,63
401594544,False,20231117,105.15,98.25,67.35,100.65,98.6,71.7,-9.5,133.5,74.9,67.3,0.7443,70,67
401594463,False,20231117,110.85,94.0,71.9,102.6,105.55,72.55000000000001,-19.5,151.5,86.8,69.2,0.9291,92,67
401593972,False,20231117,112.05,100.1,71.85,103.05,105.25,74.0,-13.5,160.5,88.0,74.1,0.8837,95,70
401584444,True,20231117,103.0,97.3,70.55,108.5,98.05,70.05,2.5,144.5,70.1,73.3,0.3801,76,72
401582111,True,20231117,109.4,97.69999999999999,66.6,102.8,96.5,71.4,-3.5,140.5,71.2,67.6,0.6283,83,66
401581804,False,20231117,112.15,99.55000000000001,71.0,95.15,105.9,69.1,-18.5,143.5,84.3,64.9,0.9489,84,61
401588731,True,20231117,108.4,90.8,71.3,108.3,91.6,65.15,1.5,129.5,66.6,66.1,0.533,79,54
401594032,False,20231117,101.85,102.5,66.9,102.25,101.6,71.65,-4.5,143.5,73.4,70.3,0.5936,63,66
401576682,False,20231117,102.8,101.19999999999999,74.2,107.3,101.0,69.15,2.5,150.5,77.2,75.8,0.5447,68,82
401607319,False,20231117,115.65,92.7,75.15,104.5,105.25,73.8,-24.5,170.5,93.4,72.6,0.9552,100,68
401592850,True,20231117,107.35,98.65,68.1,103.15,102.15,69.8,-4.5,140.5,73.0,68.0,0.676,68,73
401588732,True,20231117,108.55000000000001,95.35,73.1,107.55,97.6,73.75,-2.5,153.0,78.6,76.5,0.5734,71,74
401577719,True,20231118,101.05000000000001,108.95,74.4,97.6,106.25,69.0,-3.0,154.0,76.1,75.6,0.5388,66,51
401587128,False,20231118,107.94999999999999,95.4,70.44999999999999,95.25,104.35,64.85,-17.5,130.5,76.9,59.0,0.9389,72,51
401580928,True,20231118,106.4,97.3,68.0,107.6,89.55,69.9,7.5,132.5,65.1,70.9,0.3031,76,64
401575482,False,20231118,105.05000000000001,104.75,69.6,97.69999999999999,102.05000000000001,69.2,-9.5,136.5,76.0,69.1,0.7382,83,72
401593932,False,20231118,105.25,104.4,70.94999999999999,92.19999999999999,107.1,70.95,-12.5,147.5,82.3,68.2,0.8891,106,81
401591557,False,20231118,102.7,100.1,71.1,97.15,106.19999999999999,73.94999999999999,-12.5,147.5,83.0,71.1,0.8407,73,78
401581350,False,20231118,97.6,110.15,69.55000000000001,104.85,103.3,69.45,7.5,144.5,70.9,76.6,0.2875,69,62
401574606,False,20231118,101.2,104.55,74.35,98.0,105.2,72.45,-9.5,150.5,82.4,75.7,0.72,79,67
401601486,True,20231118,98.4,105.1,71.1,92.69999999999999,112.0,73.75,-5.0,152.0,79.9,71.7,0.7687,78,69
401600082,True,20231118,101.65,108.5,73.25,102.15,104.2,73.05,2.5,157.5,77.3,80.4,0.3911,93,98
401600050,False,20231118,106.65,100.65,69.95,101.6,107.7,69.1,-11.5,144.5,80.1,68.3,0.8474,67,53
401594072,True,20231118,96.75,105.15,69.9,93.35,112.85,71.25,-9.5,146.5,76.2,69.0,0.7402,75,78
401593771,False,20231118,103.55,104.55000000000001,68.94999999999999,92.5,111.45,72.25,-14.5,143.5,82.9,67.7,0.8991,79,78
401587215,False,20231118,95.0,105.19999999999999,70.95,99.95,107.0,70.95,1.5,145.5,75.0,73.5,0.5289,74,50
401583754,False,20231118,108.35,103.80000000000001,70.0,100.85,111.9,69.95,-16.5,155.5,83.9,70.1,0.8825,71,52
401583745,False,20231118,96.5,104.95,71.5,107.85,100.45,66.7,7.5,139.5,68.1,74.7,0.2659,57,82
401576140,False,20231118,103.25,95.95,69.2,98.55000000000001,96.95,72.5,-9.5,136.5,75.7,67.3,0.7658,60,56
401581591,True,20231118,109.35,96.6,65.44999999999999,102.0,101.35,71.05,-8.5,135.5,72.8,64.8,0.7574,61,72
401597905,False,20231118,100.65,102.6,69.30000000000001,93.6,105.80000000000001,66.45,-9.5,134.5,73.3,63.3,0.8164,73,66
401582125,True,20231118,98.15,106.0,71.1,103.7,100.6,67.25,4.5,135.0,66.7,73.8,0.2622,77,53
401587235,True,20231118,95.5,109.35,68.65,86.2,110.5,69.75,-6.5,135.5,72.2,65.3,0.7424,48,46
401574594,False,20231118,97.80000000000001,104.55000000000001,70.7,97.3,101.6,68.19999999999999,-2.5,131.5,71.5,69.4,0.5717,82,59
401589362,False,20231118,88.6,105.94999999999999,72.25,102.80000000000001,104.4,69.75,11.5,140.5,69.4,76.1,0.2437,83,80
401581514,True,20231118,105.2,102.3,70.35,99.80000000000001,99.35,69.5,-3.5,146.5,71.9,70.2,0.573,59,52
401579032,False,20231118,105.3,97.65,70.85,100.35,108.2,73.44999999999999,-14.5,152.5,84.7,70.3,0.8847,73,70
401579005,False,20231118,103.69999999999999,103.2,69.8,105.55000000000001,107.44999999999999,70.05,-4.5,145.5,78.1,72.8,0.6742,76,74
401574834,True,20231118,100.80000000000001,100.4,66.7,108.05,94.2,70.85,8.5,135.5,64.0,72.7,0.2075,84,63
401601487,True,20231118,98.75,109.5,71.80000000000001,97.80000000000001,105.25,74.5,3.0,157.0,76.7,78.7,0.4222,81,93
401594213,True,20231118,106.6,105.19999999999999,70.44999999999999,97.30000000000001,112.6,67.55,-11.5,146.5,78.5,67.6,0.8412,61,74
401581739,False,20231118,106.25,100.95,68.65,100.1,99.8,68.75,-5.5,138.5,74.4,67.1,0.7505,73,64
401577563,False,20231118,98.95,112.05,71.4,100.85,106.19999999999999,68.6,1.5,147.5,74.4,76.1,0.4308,67,58
401575404,False,20231118,100.1,102.7,73.4,96.85,109.55,70.95,-9.5,149.5,82.2,71.7,0.8141,77,76
401594033,True,20231118,102.1,100.9,71.85,91.65,108.25,68.15,-12.5,141.5,76.2,64.6,0.8566,73,57
401582126,True,20231118,107.1,104.4,66.80000000000001,97.85,110.25,72.94999999999999,-10.0,148.0,79.0,69.1,0.8086,85,92
401600915,False,20231118,113.8,94.15,69.25,100.55,106.35,73.4,-22.5,152.5,87.8,66.5,0.9571,52,61
401600449,False,20231118,102.5,92.15,68.69999999999999,103.4,106.9,73.75,-13.5,143.5,80.9,67.5,0.8621,85,63
401581513,True,20231118,103.25,99.55,67.15,107.9,96.45,67.9,4.5,137.5,64.5,69.6,0.3177,75,65
401576160,True,20231118,100.7,106.65,72.05,96.65,105.9,73.2,-1.5,155.5,77.6,75.4,0.5843,63,69
401594112,False,20231118,104.1,106.4,69.35,94.05,106.85,66.25,-6.5,137.5,75.3,65.3,0.823,73,55
401597979,True,20231118,98.05000000000001,111.55,66.85,99.85,110.7,70.75,-1.5,145.5,71.5,73.2,0.4261,69,83
401594625,False,20231118,101.44999999999999,102.45,65.8,102.19999999999999,109.3,63.95,-5.5,133.5,69.2,62.5,0.7291,66,62
401579111,False,20231118,104.6,100.8,73.95,100.95,108.45,71.25,-15.5,156.5,84.7,73.1,0.8408,65,63
401587112,False,20231118,101.15,103.80000000000001,73.30000000000001,99.30000000000001,104.75,67.7,-1.5,143.5,76.8,71.2,0.6979,61,59
401577593,False,20231118,117.2,93.6,69.65,95.69999999999999,100.95,71.5,-27.5,142.5,86.3,62.6,0.9724,82,50
401604756,False,20231118,97.3,111.9,74.1,94.85,111.95,72.9,-5.5,157.5,83.5,78.3,0.6619,81,100
401594012,False,20231118,102.2,105.80000000000001,70.15,98.05000000000001,107.15,71.8,-7.5,148.5,79.7,72.3,0.7359,76,71
401593952,False,20231118,111.9,93.1,71.80000000000001,94.0,109.0,74.1,-29.5,156.5,91.8,65.0,0.9804,93,50
401588310,False,20231118,109.75,94.85,69.55,104.94999999999999,104.4,71.19999999999999,-13.5,146.5,81.9,68.1,0.8814,108,83
401582116,True,20231119,108.1,102.9,73.44999999999999,100.95,103.55,69.85,-6.5,151.5,78.6,73.5,0.6952,71,78
401581533,True,20231119,101.25,104.55,69.0,106.80000000000001,97.25,69.45,8.5,142.5,66.4,74.8,0.2245,85,77
401598017,True,20231119,101.6,107.4,73.30000000000001,93.55000000000001,105.85,72.25,-4.5,151.5,78.6,74.2,0.6682,78,66
401597419,True,20231119,102.25,99.55,70.7,96.65,99.1,71.05000000000001,-2.5,137.5,72.3,68.9,0.6299,67,65
401594214,True,20231119,96.85,112.1,67.75,98.44999999999999,113.2,66.35,-1.5,138.5,69.3,69.7,0.4868,61,74
401581516,True,20231119,105.0,97.35,72.95,108.4,93.9,69.1,5.5,140.5,70.2,74.7,0.3494,64,71
401581552,True,20231119,102.9,102.7,63.800000000000004,103.05000000000001,97.35,64.05000000000001,3.5,116.5,58.9,62.5,0.3759,39,65
401591374,True,20231119,108.69999999999999,96.5,70.25,115.5,90.8,69.75,12.5,144.5,68.2,76.3,0.2339,57,77
401606134,False,20231119,100.80000000000001,103.2,66.95,98.25,102.65,65.95,-3.5,129.5,68.6,64.0,0.6655,86,74
401592102,False,20231119,97.9,109.8,69.44999999999999,93.75,106.9,69.7,-4.5,137.5,74.6,70.5,0.6359,63,67
401587236,False,20231119,99.94999999999999,106.95,70.25,94.5,108.80000000000001,68.05,-7.5,138.5,76.2,68.2,0.762,76,64
401583761,False,20231119,110.8,96.19999999999999,68.55,106.55000000000001,95.2,68.8,-6.5,138.5,74.4,67.5,0.7385,85,68
401582129,False,20231119,97.95,108.45,74.25,95.25,105.35,68.5,-2.5,149.0,76.8,73.4,0.6211,94,79
401582117,False,20231119,99.85,109.55,71.4,103.35,100.25,72.75,6.5,156.5,75.6,79.8,0.3342,72,80
401581593,True,20231119,108.19999999999999,89.65,70.15,110.25,96.75,64.6,-4.5,129.5,67.8,64.7,0.6165,66,57
401581511,True,20231119,104.35,101.0,69.35,103.85,98.45,67.4,-1.5,139.5,68.0,69.3,0.4591,57,55
401575446,False,20231119,107.95,90.19999999999999,70.05,95.1,103.5,69.80000000000001,-25.5,132.0,81.2,59.7,0.9599,92,37
401587242,True,20231119,100.9,109.05,70.2,93.80000000000001,111.05000000000001,71.2,-8.5,146.5,77.4,71.4,0.7132,60,71
401581534,True,20231119,104.3,97.85,71.95,108.45,103.5,70.8,1.5,149.5,75.7,74.8,0.5241,86,76
401600081,False,20231119,101.8,104.5,70.15,102.65,109.85,73.85,-7.5,153.5,82.3,75.5,0.7072,88,77
401594469,False,20231119,102.55,103.75,71.55,97.95,109.75,69.35,-14.5,148.5,80.4,69.9,0.8207,68,63
401594230,False,20231119,106.9,95.15,71.55000000000001,102.25,103.35,66.25,-13.5,137.5,77.2,64.7,0.8679,90,66
401583715,False,20231119,102.44999999999999,97.95,66.19999999999999,100.35,106.0,71.25,-9.5,139.5,75.8,65.4,0.8089,62,52
401583610,False,20231119,105.0,103.3,70.85,99.44999999999999,104.85,68.0,-8.5,142.5,77.4,69.0,0.779,76,82
401577685,False,20231119,100.15,106.30000000000001,71.75,98.94999999999999,109.65,71.55,-6.5,151.5,80.7,74.1,0.7111,85,82
401581517,True,20231119,113.65,98.35,71.75,109.80000000000001,94.25,73.05,-3.5,157.5,77.4,77.4,0.5029,91,83
401600056,True,20231119,106.1,104.8,70.2,101.44999999999999,110.9,70.44999999999999,-12.5,154.5,79.1,72.1,0.7383,78,70
401598576,True,20231119,109.75,106.15,73.25,100.15,100.6,69.25,-4.5,151.5,77.0,74.3,0.6262,70,88
401581550,True,20231119,111.80000000000001,101.85,69.9,107.5,97.45,69.95,-1.5,149.5,73.8,73.8,0.5102,80,86
401581512,True,20231119,106.95,96.94999999999999,68.1,98.55000000000001,98.65,68.65,-7.5,136.5,70.5,63.8,0.7335,70,71
401591375,True,20231119,103.4,104.0,70.75,110.95,91.6,71.1,17.5,142.5,67.0,80.0,0.1307,80,81
401581592,True,20231119,106.45,97.80000000000001,68.30000000000001,102.35,102.25,70.55000000000001,-5.5,142.5,73.5,67.9,0.6914,78,57
401587243,False,20231119,102.9,102.65,63.65,102.65,112.0,70.0,-8.5,135.5,75.1,65.8,0.7807,58,56
401577635,False,20231119,111.8,97.85,68.75,98.7,109.15,68.4,-22.5,141.5,82.9,63.2,0.9499,73,56
401601488,True,20231119,103.25,97.5,70.7,102.45,101.3,70.75,-8.5,142.5,73.4,70.4,0.605,70,54
401575483,False,20231119,105.25,104.44999999999999,70.7,100.65,108.6,68.35,-9.5,143.5,79.4,70.1,0.7973,88,83
401593911,True,20231119,99.4,104.15,72.65,97.0,106.85,69.7,-4.5,144.5,75.1,71.8,0.6273,92,96
401584331,False,20231119,111.30000000000001,98.75,68.3,102.3,110.85,70.4,-18.5,147.5,84.4,66.8,0.9294,98,76
401581535,True,20231119,104.55,99.5,71.65,102.4,100.6,74.6,-3.5,154.5,77.7,75.5,0.5731,83,60
401577574,False,20231119,101.05,99.85,70.94999999999999,106.1,102.05000000000001,70.05,-1.5,143.5,75.0,72.6,0.569,74,65
401582123,True,20231119,103.75,102.9,69.85,98.8,98.45,70.69999999999999,2.5,140.5,71.3,70.8,0.5242,59,45
401601479,True,20231119,103.9,99.1,68.1,103.0,100.35,65.94999999999999,-1.5,125.5,66.8,65.4,0.556,49,54
401594034,True,20231119,102.4,109.4,64.25,102.30000000000001,100.5,71.3,4.5,137.5,66.5,72.1,0.2964,76,70
401582114,True,20231119,110.2,97.4,67.30000000000001,108.05000000000001,102.30000000000001,64.6,-5.5,133.5,69.2,64.6,0.6657,71,61
401581551,True,20231119,109.95,94.25,70.9,109.55,99.69999999999999,72.30000000000001,-4.5,150.5,77.3,73.6,0.6262,82,91
401600257,False,20231119,116.05,92.45,74.8,102.85,102.85,69.75,-27.5,154.5,88.6,68.2,0.9564,101,56
401592370,False,20231119,111.3,92.0,67.35,100.5,108.94999999999999,70.30000000000001,-23.5,141.5,83.3,61.1,0.9626,81,49
